ID,Casa,Categoría,Perfume,Tipo,Tamaño,UPC_EAN,SKU_GEORGINA,Foto_URL,Fuente,Precio_Referencia,Costo_GEORGINA,Precio_Venta_GEORGINA,Inventario,Proveedor,Estado,Notas
PERF-00001,Lattafa,Árabe,24 Carat Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-24-CARAT-GOLD-0000,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00002,Lattafa,Árabe,24 Carat Pure Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-24-CARAT-PURE-GOLD-0001,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00003,Lattafa,Árabe,24 Carat White Gold,EDP/EDT/Parfum (verificar),,,LATTAFA-24-CARAT-WHITE-GOLD-0002,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00004,Lattafa,Árabe,Ajayeb Dubai,EDP/EDT/Parfum (verificar),,,LATTAFA-AJAYEB-DUBAI-0003,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00005,Lattafa,Árabe,Ajwad,EDP/EDT/Parfum (verificar),,,LATTAFA-AJWAD-0004,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00006,Lattafa,Árabe,Ajwad Pink to Pink,EDP/EDT/Parfum (verificar),,,LATTAFA-AJWAD-PINK-TO-PINK-0005,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00007,Lattafa,Árabe,Al Dur Al Maknoon,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-DUR-AL-MAKNOON-0006,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00008,Lattafa,Árabe,Al Nashama Caprice,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-NASHAMA-CAPRICE-0007,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00009,Lattafa,Árabe,Al Nashama,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-NASHAMA-0008,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00010,Lattafa,Árabe,Al Noble Ameer,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-NOBLE-AMEER-0009,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00011,Lattafa,Árabe,Al Noble Safeer,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-NOBLE-SAFEER-0010,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00012,Lattafa,Árabe,Al Noble Wazeer,EDP/EDT/Parfum (verificar),,,LATTAFA-AL-NOBLE-WAZEER-0011,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00013,Lattafa,Árabe,Ana Abiyedh,EDP/EDT/Parfum (verificar),,,LATTAFA-ANA-ABIYEDH-0012,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00014,Lattafa,Árabe,Ana Abiyedh Rouge,EDP/EDT/Parfum (verificar),,,LATTAFA-ANA-ABIYEDH-ROUGE-0013,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00015,Lattafa,Árabe,Ana Abiyedh Coral,EDP/EDT/Parfum (verificar),,,LATTAFA-ANA-ABIYEDH-CORAL-0014,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00016,Lattafa,Árabe,Ana Abiyedh Poudree,EDP/EDT/Parfum (verificar),,,LATTAFA-ANA-ABIYEDH-POUDREE-0015,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00017,Lattafa,Árabe,Ana Abiyedh White,EDP/EDT/Parfum (verificar),,,LATTAFA-ANA-ABIYEDH-WHITE-0016,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00018,Lattafa,Árabe,Ameer Al Oudh Intense Oud,EDP/EDT/Parfum (verificar),,,LATTAFA-AMEER-AL-OUDH-INTENSE-OU-0017,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00019,Lattafa,Árabe,Ameer Al Oudh,EDP/EDT/Parfum (verificar),,,LATTAFA-AMEER-AL-OUDH-0018,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
