ID,Casa,Categoría,Perfume,Descripción_Corta,Género,Concentración,Tamaño,UPC_EAN,SKU_GEORGINA,Inspirado_En,Casa_Original,Tipo_Relación,Similitud_Estimada,Es_1_a_1,Foto_URL,Fuente,Precio_Referencia,Costo_GEORGINA,Precio_Venta_GEORGINA,Inventario,Proveedor,Estado,Notas
PERF-00001,Lattafa,Árabe,24 Carat Gold,,,,,,LATTAFA-24-CARAT-GOLD-0000,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00002,Lattafa,Árabe,24 Carat Pure Gold,,,,,,LATTAFA-24-CARAT-PURE-GOLD-0001,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00003,Lattafa,Árabe,24 Carat White Gold,,,,,,LATTAFA-24-CARAT-WHITE-GOLD-0002,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00004,Lattafa,Árabe,Ajayeb Dubai,,,,,,LATTAFA-AJAYEB-DUBAI-0003,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00005,Lattafa,Árabe,Ajwad,,,,,,LATTAFA-AJWAD-0004,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00006,Lattafa,Árabe,Ajwad Pink to Pink,,,,,,LATTAFA-AJWAD-PINK-TO-PINK-0005,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00007,Lattafa,Árabe,Al Dur Al Maknoon,,,,,,LATTAFA-AL-DUR-AL-MAKNOON-0006,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00008,Lattafa,Árabe,Al Nashama Caprice,,,,,,LATTAFA-AL-NASHAMA-CAPRICE-0007,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00009,Lattafa,Árabe,Al Nashama,,,,,,LATTAFA-AL-NASHAMA-0008,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00010,Lattafa,Árabe,Al Noble Ameer,,,,,,LATTAFA-AL-NOBLE-AMEER-0009,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00011,Lattafa,Árabe,Al Noble Safeer,,,,,,LATTAFA-AL-NOBLE-SAFEER-0010,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00012,Lattafa,Árabe,Al Noble Wazeer,,,,,,LATTAFA-AL-NOBLE-WAZEER-0011,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00013,Lattafa,Árabe,Ana Abiyedh,,,,,,LATTAFA-ANA-ABIYEDH-0012,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00014,Lattafa,Árabe,Ana Abiyedh Rouge,,,,,,LATTAFA-ANA-ABIYEDH-ROUGE-0013,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00015,Lattafa,Árabe,Ana Abiyedh Coral,,,,,,LATTAFA-ANA-ABIYEDH-CORAL-0014,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00016,Lattafa,Árabe,Ana Abiyedh Poudree,,,,,,LATTAFA-ANA-ABIYEDH-POUDREE-0015,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00017,Lattafa,Árabe,Ana Abiyedh White,,,,,,LATTAFA-ANA-ABIYEDH-WHITE-0016,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00018,Lattafa,Árabe,Ameer Al Oudh Intense Oud,,,,,,LATTAFA-AMEER-AL-OUDH-INTENSE-OU-0017,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00019,Lattafa,Árabe,Ameer Al Oudh,,,,,,LATTAFA-AMEER-AL-OUDH-0018,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00020,Lattafa,Árabe,Asad,"Fragancia masculina especiada y elegante con notas de pimienta negra, café tostado, tabaco seco e iris oscuro.",Men,,,,LATTAFA-ASAD-0019,Sauvage Elixir,Dior,Inspirado / dupe,~90%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Pimienta negra, Tabaco, Piña. Corazón: Pachulí, Café, Iris. Fondo: Vainilla, Ámbar, Madera seca, Benjuí, Ládano."
PERF-00021,Lattafa,Árabe,Asad Bourbon,"Fragancia masculina especiada y elegante con notas de pimienta negra, café tostado, tabaco seco e iris oscuro.",Men,,,,LATTAFA-ASAD-BOURBON-0020,Sauvage Elixir,Dior,Inspirado / dupe,~90%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Pimienta negra, Tabaco, Piña. Corazón: Pachulí, Café, Iris. Fondo: Vainilla, Ámbar, Madera seca, Benjuí, Ládano."
PERF-00022,Lattafa,Árabe,Asad Elixir,"Fragancia masculina especiada y elegante con notas de pimienta negra, café tostado, tabaco seco e iris oscuro.",Men,,,,LATTAFA-ASAD-ELIXIR-0021,Sauvage Elixir,Dior,Inspirado / dupe,~90%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Pimienta negra, Tabaco, Piña. Corazón: Pachulí, Café, Iris. Fondo: Vainilla, Ámbar, Madera seca, Benjuí, Ládano."
PERF-00023,Lattafa,Árabe,Asad Zanzibar,"Fragancia masculina especiada y elegante con notas de pimienta negra, café tostado, tabaco seco e iris oscuro.",Men,,,,LATTAFA-ASAD-ZANZIBAR-0022,Sauvage Elixir,Dior,Inspirado / dupe,~90%,No,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,"Salida: Pimienta negra, Tabaco, Piña. Corazón: Pachulí, Café, Iris. Fondo: Vainilla, Ámbar, Madera seca, Benjuí, Ládano."
PERF-00024,Lattafa,Árabe,Asdaaf Ameerat Al Arab,,,,,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-0023,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00025,Lattafa,Árabe,Asdaaf Ameerat Al Arab Prive Rose,,,,,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-P-0024,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00026,Lattafa,Árabe,Asdaaf Ameerat Al Arab Imperium,,,,,,LATTAFA-ASDAAF-AMEERAT-AL-ARAB-I-0025,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00027,Lattafa,Árabe,Asdaaf Fouad,,,,,,LATTAFA-ASDAAF-FOUAD-0026,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00028,Lattafa,Árabe,Asdaaf Reem,,,,,,LATTAFA-ASDAAF-REEM-0027,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00029,Lattafa,Árabe,Atheeri,,,,,,LATTAFA-ATHEERI-0028,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
PERF-00030,Lattafa,Árabe,Azeezah,,,,,,LATTAFA-AZEEZAH-0029,,,,,,,Catálogo de la casa / referencia de catálogo,,,,,,Referencia — revisar antes de publicar,
